cluster_id,n,m,kappa_hat,log_e,e,top_label,text,text_len,stance
0,60,30,3840.0,1499.30685281944,1.0142320547350045e+304,,I Strongly support Net Neutrality backed by title 2 oversight of ISP's,70,pro-NN
11,57,28,3840.0,1400.0,1.0142320547350045e+304,,I STRONGLY SUPPORT net neutrality backed by Title 2 oversight of ISPs,69,pro-NN
15,56,28,3840.0,1400.0,1.0142320547350045e+304,,I support Title 2 oversight of ISPs and I support net neutrality.,65,pro-NN
13,57,28,3840.0,1400.0,1.0142320547350045e+304,,"I support Title 2 oversight of ISPs.   
I support net neutrality.",65,pro-NN
12,57,28,3840.0,1400.0,1.0142320547350045e+304,,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. 

The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. 

I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet ""fast lanes"" by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.

Sincerely,
Thelma Steele",1293,pro-NN
14,56,28,3840.0,1400.0,1.0142320547350045e+304,,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. 

The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. 

I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet ""fast lanes"" by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.

Sincerely,
John M Cano",1291,pro-NN
7,57,28,3840.0,1400.0,1.0142320547350045e+304,,"I strongly support net neutrality backed by Title 2 oversight of ISPs. Net neutrality is the essence of how the internet was founded, not for the big corporations, but for the people, and how they interconnect. Without which we will find ourselves more limited in capacity with less freedoms which is what this country was based on. Corporatization was not what the founding fathers had in mind when they drafted the constitution of the United States.",451,pro-NN
6,57,28,3840.0,1400.0,1.0142320547350045e+304,,I STRONGLY support net neutrality backed by Title 2 oversight of ISPS.,70,pro-NN
5,57,28,3840.0,1400.0,1.0142320547350045e+304,,"Chairman Pai\xe2\x80\x99s proposed plan to repeal net neutrality protections would put a huge burden on microbusinesses like mine.\
\
As an Etsy seller, net neutrality is essential to the success of my business and my ability to care for myself and my family. The FCC needs to ensure equal opportunities for microbusinesses to compete with larger and more established brands by upholding net neutrality protections.\
\
Etsy has opened the door for me and 1.8 million other sellers to turn our passion into a business by connecting us to a global market of buyers. For 32% of creative entrepreneurs on the platform, our creative business is our sole occupation. A decrease in sales in the internet slow lane or higher cost to participate in Chairman Pai\xe2\x80\x99s pay-to-play environment would create significant obstacles for me and other Etsy sellers to care for ourselves and our families.\
\
Moreover, 87% of Etsy sellers in the U.S. are women, and most run their microbusinesses out of their homes. By rolling back the bright line rules that ensure net neutrality, Chairman Pai is not only taking away our livelihood, he is also putting up barriers to entrepreneurship for a whole cohort of Americans.\
\
My business growth depends on equal access to consumers. Any rule that allows broadband providers to negotiate special deals with some companies would undermine my ability to compete online.\
\
We need a free and open internet that works for everyone, not just telecom companies that stand to benefit from the FCC\xe2\x80\x99s proposed rules.\
\
I'm sending this to the FCC's open proceeding and to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II and microbusinesses like mine.\
\
Thank you!\\
barbara kimball",1780,mixed
3,57,28,3840.0,1400.0,1.0142320547350045e+304,,I strongly support Net neutrality backed by title 2 oversight of ISP's .,72,pro-NN
